No.,Kode Provinsi,Nama Provinsi,Tahun,Konsumsi Protein (gram/kap/hari)
266,65,Kalimantan Utara,2025,62.5
267,71,Sulawesi Utara,2025,65.9
268,72,Sulawesi Tengah,2025,59.9
269,73,Sulawesi Selatan,2025,64.8
270,74,Sulawesi Tenggara,2025,62.2
271,75,Gorontalo,2025,60.6
272,76,Sulawesi Barat,2025,61.5
273,81,Maluku,2025,56.3
274,82,Maluku Utara,2025,54.1
275,92,Papua Barat,2025,51.8
276,91,Papua,2025,52.4
277,96,Papua Barat Daya,2025,56.2
278,94,Papua Tengah,2025,46.6
279,95,Papua Pegunungan,2025,41.3
280,93,Papua Selatan,2025,55.6
